application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-199,tg2026q3_01,Telangana,"Scheduled Caste Development Department,Palem",SCHEDULED CASTE DEVELOPMENT,Palem,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-200,tg2026q3_01,Telangana,"School Education Department, NARMETTA",SCHOOL EDUCATION,NARMETTA,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-201,tg2026q3_01,Telangana,"School Education Department, THARIGOPPULA",SCHOOL EDUCATION,THARIGOPPULA,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-219,tg2026q3_01,Telangana,Telangana Vaidya Vidhana Parishad (Head Quarters Hospital)Mahabubnagar,TELANGANA VAIDYA VIDHANA PARISHAD,Mahabubnagar,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-221,tg2026q3_01,Telangana,Telangana Vaidya vidhana parishad,TELANGANA VAIDYA VIDHANA PARISHAD,NA,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-224,tg2026q3_01,Telangana,"TGSRTC ,DM KOLLAPUR",TGSRTC,DM KOLLAPUR,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-225,tg2026q3_01,Telangana,"TGSRTC ,DM NARKETPALLY",TGSRTC,DM NARKETPALLY,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-231,tg2026q3_01,Telangana,"Transport,Road&BuildingsDepartment,Rajanna Siricilla District",TRANSPORT,Rajanna Sircilla,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-232,tg2026q3_01,Telangana,"Transport,Roads& Buildings(UNIT OFFICE), RAMAGUNDAM, Peddapalli",TRANSPORT,Peddapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-234,tg2026q3_01,Telangana,"TRANSPORT R&B DEPARTMENT,kothagudem",TRANSPORT R AND B,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-235,tg2026q3_01,Telangana,"Transport R&B Department, Jayashankar Bhupalpally",TRANSPORT R AND B,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-236,tg2026q3_01,Telangana,"Transport R&B Department, Mahabubabad",TRANSPORT R AND B,Mahabubabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-237,tg2026q3_01,Telangana,"Tribal Welfare (TGSWRS/JC) Department,,Darmaram, Peddapalli",TRIBAL WELFARE,Peddapalli,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-240,tg2026q3_01,Telangana,"Tribal Welfare Development, Mancherial",TRIBAL WELFARE DEVELOPMENT,Mancherial,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-248,tg2026q3_01,Telangana,"Women Development & child welfare Department,Madnoor",WOMEN DEVELOPMENT AND CHILD WELFARE,Madnoor,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
