State,Department,Website,District,Block
Telangana,"Irrigation & CAD(IW&PW) Department, Irrigation Circle,Hanumakonda",RTI_telangana,Hanamkonda,NA
Telangana,Media Academy of Telangana State,RTI_telangana,NA,NA
Telangana,"Mines & Geology Department, Jayashankar Bhupalapally",RTI_telangana,Jayashankar Bhupalapally,Jayashankar Bhupalapally
Telangana,"Minorities Welfare Department, Warangal",RTI_telangana,Warangal,NA
Telangana,"Panchayat Raj&Rural Development, Jagitial",RTI_telangana,Jagtial,Jayashankar Bhupalapally
Telangana,"Planning Department,Narayanpet",RTI_telangana,Narayanpet,NA
Telangana,"Revenue Department,,Narayanpet",RTI_telangana,Narayanpet,Jayashankar Bhupalapally
Telangana,"Revenue Dept,(Pentlavelly)Nagarkurnool",RTI_telangana,Nagarkurnool,NA
Telangana,"S.C. Development Department,Kothagudem",RTI_telangana,Bhadradri Kothagudem,Jayashankar Bhupalapally
Telangana,"Scheduled Castes Service (Coordn)Development Department,Kotagudem",RTI_telangana,Kotagudem,NA
Telangana,"Tahsildar, Danthalapalli",RTI_telangana,Danthalapalli,Jayashankar Bhupalapally
Telangana,Thasildar VSaidapoor,RTI_telangana,Karimnagar,Saidapur
Telangana,"(R&B) NH Sub Division,Khammam",RTI_telangana,Khammam,Khammam
Telangana,"(R&B) NH Sub Division,Kothagudem",RTI_telangana,Bhadradri Kothagudem,Kothagudem
Telangana,"(R&B) NH Sub Division,Suryapet",RTI_telangana,Suryapet,Suryapet
Telangana,Animal Husbadry & Veterinary Department((DV&AHO). Vikarabad,RTI_telangana,Vikarabad,. Vikarabad
Telangana,"Animal Husbadry & Veterinary Departmentr,Warangal",RTI_telangana,Warangal,Warangal
Telangana,Animal Husbandry & Veterinary Department(DVAHO).Mulugu,RTI_telangana,Mulugu,.Mulugu
Telangana,"0/o Tahsildar, Chityal Mandal Jayashankar Bhupalpally District",RTI_telangana,Jayashankar Bhupalapally,Chityal Mandal Jayashankar Bhupalpally District
Telangana,"Adult Education, lakdikapul Hyderabad",RTI_telangana,Hyderabad,lakdikapul Hyderabad
Telangana,"Agricultural & Co-Opration Department,Nizamabad",RTI_telangana,Nizamabad,Nizamabad
Telangana,"Agricultural &Cooperation Department(Agricultural Marketing),jangaon",RTI_telangana,Jangaon,jangaon
Telangana,"Agricultural &Cooperation Department(MarkFed Office), Jangaon",RTI_telangana,Jangaon,Jangaon
Telangana,Agriculture & Cooperation Department J Gadwal,RTI_telangana,NA,NA
Telangana,"Agriculture & Cooperation Department, Ranga Reddy",RTI_telangana,Ranga Reddy,NA
Telangana,"Agriculture & Cooperation Department, Alampur",RTI_telangana,Alampur,NA
Telangana,"Agriculture & Cooperation Department, Gadwal",RTI_telangana,Gadwal,NA
Telangana,"Agriculture & Cooperation Department,Hyderabad",RTI_telangana,Hyderabad,NA
Telangana,"Agriculture & Co-operation Department,Hyderabad",RTI_telangana,Hyderabad,NA
Telangana,"Agriculture &Cooperation Department,Kothagudem",RTI_telangana,Bhadradri Kothagudem,Kothagudem
Telangana,"Agriculture &Cooperation Department,Laxmidevipally",RTI_telangana,Bhadradri Kothagudem,Laxmidevipally
Telangana,"Agriculture &Cooperation Department,Medchal",RTI_telangana,Medchal-Malkajgiri,Medchal
Telangana,Agriculture (SECT),RTI_telangana,NA,NA
Telangana,Agriculture and cooperation Department(Horticulture and Sericulture),RTI_telangana,NA,NA
Telangana,"Agriculture and Co-operation Department, Hyderabad",RTI_telangana,Hyderabad,NA
Telangana,"Agriculture and co-operation department,Mahabubabad",RTI_telangana,Mahabubabad,NA
Telangana,"Agriculture& Cooperation Department, Ghanpur (Stn)",RTI_telangana,Ghanpur (Stn),NA
Telangana,"Agriculture& Cooperation Department, Bachannapet",RTI_telangana,Bachannapet,NA
Telangana,"Agriculture& Cooperation Department, Devaruppula",RTI_telangana,Devaruppula,NA
Telangana,"Agriculture& Cooperation Department, Jangaon",RTI_telangana,Jangaon,NA
Telangana,"Agriculture& Cooperation Department, Kodakandla",RTI_telangana,Kodakandla,NA
Telangana,"Agriculture& Cooperation Department, Lingala Ghanpur",RTI_telangana,Lingala Ghanpur,NA
Telangana,"Agriculture& Cooperation Department, Palakurthy",RTI_telangana,Palakurthy,NA
Telangana,"Agriculture& Cooperation Department, Raghunathpally",RTI_telangana,Raghunathpally,NA
Telangana,"Agriculture& Cooperation Department, Tharigoppula",RTI_telangana,Tharigoppula,NA
Telangana,"Agriculture& Cooperation Department, Wadlakonda Road",RTI_telangana,Wadlakonda Road,NA
Telangana,"Agriculture& Cooperation Department, Wadlakonda Road,Jangaon",RTI_telangana,Jangaon,NA
Telangana,"Agriculture& Cooperation Department, Zaffergadh",RTI_telangana,Zaffergadh,NA
Telangana,"Agriculture& Cooperation Department,Chilpur",RTI_telangana,Chilpur,NA
Telangana,"Agriculture& Cooperation Department,Ghanpur (Stn)",RTI_telangana,Ghanpur (Stn),NA
Telangana,"Agriculture& Cooperation Department,Narmetta",RTI_telangana,Narmetta,NA
Telangana,"Agriculture&Cooperatiion Department,Asifabad",RTI_telangana,Asifabad,NA
Telangana,Agriculture&Cooperation ( AGRIL.MARKETING DEPARTMENT ) BHONGIR,RTI_telangana,BHONGIR,NA
Telangana,"Agriculture&Cooperation (Horticulture )Department,Medak",RTI_telangana,Medak,NA
Telangana,"Agriculture&Cooperation Department( Markiting),Narayanpet",RTI_telangana,Narayanpet,NA
Telangana,"Agriculture&Cooperation Department(Agricultural Marketing ),Khammam",RTI_telangana,Khammam,NA
Telangana,Agriculture&Cooperation Department(Markfed)Narayanpet,RTI_telangana,Narayanpet,NA
Telangana,"Agriculture&Cooperation Department, ( R) Kodangal",RTI_telangana,( R) Kodangal,NA
Telangana,"Agriculture&Cooperation Department, ( R) Tandur",RTI_telangana,( R) Tandur,NA
Telangana,"Agriculture&Cooperation Department, ( R) Vikarabad",RTI_telangana,Vikarabad,NA
Telangana,"Agriculture&Cooperation Department, Kamareddy",RTI_telangana,Kamareddy,NA
Telangana,"Agriculture&Cooperation Department, Mahabubnagar",RTI_telangana,Mahabubnagar,NA
Telangana,"Agriculture&Cooperation department, Makthal",RTI_telangana,Makthal,NA
Telangana,"Agriculture&Cooperation Department, Mancherial",RTI_telangana,Mancherial,NA
Telangana,"Agriculture&Cooperation department, Narayanpet",RTI_telangana,Narayanpet,NA
Telangana,"Agriculture&Cooperation Department, Warangal",RTI_telangana,Warangal,NA
Telangana,"Agriculture&Cooperation Department, Yadadri Bhuvanagir",RTI_telangana,Yadadri Bhuvanagir,NA
Telangana,"Agriculture&Cooperation Department,Adilabad",RTI_telangana,Adilabad,NA
Telangana,"Agriculture&Cooperation Department,Kamareddy",RTI_telangana,Kamareddy,NA
Telangana,"Agriculture&Cooperation department,Kosgi",RTI_telangana,Kosgi,NA
Telangana,"Agriculture&Cooperation Department,Mahabubnagar",RTI_telangana,Mahabubnagar,NA
Telangana,"Agriculture&Cooperation Department,Medak",RTI_telangana,Medak,NA
Telangana,"Agriculture&Cooperation Department,Mulugu",RTI_telangana,Mulugu,NA
Telangana,"Agriculture&Cooperation Department,Nagarkurnool",RTI_telangana,Nagarkurnool,NA
Telangana,"Agriculture&Cooperation Department,Nizamabad",RTI_telangana,Nizamabad,NA
